
[Onsemi AR0147 regdump]
REG= 0x3320, 0x0000
REG= 0x3322, 0x0000
REG= 0x3324, 0x1430
REG= 0x3326, 0x0000
REG= 0x332A, 0x0000
REG= 0x332C, 0x0000
REG= 0x332E, 0x0000
REG= 0x3330, 0x0000
REG= 0x3332, 0x0000
REG= 0x3334, 0x0000
REG= 0x3336, 0x0000
REG= 0x3338, 0x0000
REG= 0x333A, 0x3231
REG= 0x333C, 0x3534
REG= 0x333E, 0x3736
REG= 0x3340, 0x3330
REG= 0x3342, 0x122C
REG= 0x3344, 0x0011
REG= 0x3346, 0x122C
REG= 0x3348, 0x0111
REG= 0x334A, 0x122C
REG= 0x334C, 0x0211
REG= 0x334E, 0x122C
REG= 0x3350, 0x0311
REG= 0x3352, 0x8000
REG= 0x3354, 0x1F90
REG= 0x3356, 0x0000
REG= 0x3358, 0x0000
REG= 0x335C, 0x0000
REG= 0x335E, 0x0000
REG= 0x3360, 0x1111
REG= 0x3362, 0x0000
REG= 0x3364, 0x0680
REG= 0x3366, 0x0007
REG= 0x3368, 0x0001
REG= 0x3370, 0x0131
REG= 0x3372, 0x700F
REG= 0x3374, 0x700F
REG= 0x3376, 0x700F
REG= 0x3378, 0x700F
REG= 0x337A, 0x0B74
REG= 0x337C, 0x0000
REG= 0x337E, 0x0000
REG= 0x3380, 0x0000
REG= 0x3382, 0x00FF
REG= 0x3384, 0x00FF
REG= 0x3386, 0x0000
REG= 0x3388, 0x0C55
REG= 0x338A, 0x0000
REG= 0x338C, 0x0200
REG= 0x338E, 0x0000
REG= 0x3390, 0x0200
REG= 0x3392, 0x0000
REG= 0x3394, 0x0200
REG= 0x3396, 0x0000
REG= 0x3398, 0x0200
REG= 0x339A, 0x0000
REG= 0x339C, 0x0800
REG= 0x339E, 0x0000
REG= 0x33A0, 0x0800
REG= 0x33A2, 0x0000
REG= 0x33A4, 0x0800
REG= 0x33A6, 0x0000
REG= 0x33A8, 0x0800
REG= 0x33AA, 0x0101
REG= 0x33AC, 0x1E01
REG= 0x33AE, 0x1F01
REG= 0x33B0, 0x0000
REG= 0x33B2, 0x0000
REG= 0x33B4, 0x0000
REG= 0x33B6, 0x0000
REG= 0x33B8, 0x0000
REG= 0x33BA, 0x0000
REG= 0x33BC, 0x2111
REG= 0x33C0, 0x0200
REG= 0x33C2, 0x0400
REG= 0x33C4, 0x0800
REG= 0x33C6, 0x1000
REG= 0x33C8, 0x2000
REG= 0x33CA, 0x4000
